label,source,cold_inlet_temp,cold_mass_flow,hot_inlet_temp,hot_mass_flow,Th_out_DWSim,Tc_out_DWSim,efficiency_DWSim,U_DWSim,Q_hot_DWSim_W,cold_dp_DWSim_Pa,hot_dp_DWSim_Pa,Th_out_PINN,Tc_out_PINN,efficiency_PINN,Q_hot_PINN_W,err_Th_K,err_Tc_K,abs_err_Th_K,abs_err_Tc_K,pct_err_Th,pct_err_Tc,abs_pct_err_Th,abs_pct_err_Tc,err_efficiency_ppt,err_Q_W
random_016,random,315.44431676211366,5.130315878161745,355.716226203028,3.1220363099764503,327.798701794361,332.4658361944063,69.36509178631215,496.09786092886867,364849.7711833116,43.1117555052042,2008.8405303052714,328.2058,332.51102,68.31167441046071,359529.330408293,0.4071087525139774,0.04518065129684601,0.4071087525139774,0.04518065129684601,0.12419474216507732,0.01358956210779716,0.12419474216507732,0.01358956210779716,-1.0534173758514385,-5320.440775018593
random_017,random,308.5267668895224,2.768569725536123,352.81027105095745,2.600489914907389,327.25665896248785,332.57042900991775,57.74961314776378,334.7966976118372,278167.69745982985,14.83570541148947,1446.9299166378623,327.1408,332.35938,57.96619628815039,279428.809432344,-0.11585085701909748,-0.2110540099177456,0.11585085701909748,0.2110540099177456,-0.035400611063616895,-0.06346144801450511,0.035400611063616895,0.06346144801450511,0.21658314038661075,1261.1119725141325
random_018,random,317.42210957766906,3.957413789682746,363.09037689237266,2.9322686852726365,333.35576067622475,339.51204130807514,65.17573146228891,441.58984828473075,364976.854420695,26.874174557233346,1770.8050791099377,333.53635,339.34647,64.71458672422725,362760.2587225548,0.18058575932212761,-0.16557524362201548,0.18058575932212761,0.16557524362201548,0.054172082988997276,-0.04876859241400854,0.054172082988997276,0.04876859241400854,-0.46114473806166245,-2216.5956981402123
random_019,random,294.1569298934572,2.5243570583794996,336.1866563789224,3.5748962189373437,318.51997382072284,319.1824319520119,59.53629239836752,294.162083509424,264373.34625609196,13.507830494272639,2652.3781242335244,318.44202,319.0795,42.21926065470918,265539.93827620347,-0.07795721916033926,-0.102933660996257,0.07795721916033926,0.102933660996257,-0.024474829074366634,-0.03224916245131335,0.024474829074366634,0.03224916245131335,-17.31703174365834,1166.5920201115077
random_020,random,314.7517363741767,3.2203664933908827,368.02710792063704,4.643334756166174,344.66005812037,348.5709173938405,63.384150501163774,433.04216201560433,454185.3303610988,18.52655233076075,4020.4084374230006,344.78186,348.4706,43.632258010256834,451817.86047997413,0.12180223119247557,-0.10030582157486378,0.12180223119247557,0.10030582157486378,0.035339816240017294,-0.02877630248811924,0.035339816240017294,0.02877630248811924,-19.75189249090694,-2367.469881124678
random_021,random,305.11010323011755,1.5900636308592921,348.79038780238085,5.185807061000135,340.3838646028555,332.59274020444406,62.87724953316385,164.72358517933495,182487.02643641995,2.9631425175321056,5017.310103854135,340.30707,332.23676,19.42139346013774,184154.11363604016,-0.07679673176176038,-0.3559848333503055,0.07679673176176038,0.3559848333503055,-0.022561801468281503,-0.10703325428314592,0.022561801468281503,0.10703325428314592,-43.45585607302611,1667.087199620204
random_022,random,301.8861669916632,4.681150426146293,335.1486022400525,3.8608330489191807,316.21950138758865,317.50417443724234,56.91680180139181,439.4643246513093,305921.6628873652,38.821912397339474,3062.7168351756845,316.24774,317.7133,56.82344181864736,305465.25858365983,0.028240311630099768,0.2091129162732841,0.028240311630099768,0.2091129162732841,0.008930604060211253,0.06586146989844294,0.008930604060211253,0.06586146989844294,-0.09335998274445245,-456.40430370537797
random_023,random,293.69685753972976,0.8806417804271331,358.5127209868131,1.4723207058558625,332.16938114901524,337.84060708522264,68.04740649684547,131.50899643056587,162357.54593340305,1.7267892932140967,510.17112829013786,332.3437,337.78644,40.37442476305844,161283.26342445848,0.17430781582851296,-0.05416909694139349,0.17430781582851296,0.05416909694139349,0.05247558195326749,-0.01603392126504466,0.05247558195326749,0.01603392126504466,-27.672981733787026,-1074.2825089445687
random_024,random,292.8919920052086,3.7473965904051463,361.97864700733027,2.6997448866713842,318.2719688467422,324.43950491448385,63.30679151801108,369.401399132926,493934.94335296174,26.463456764206057,1548.4398793401488,318.68707,324.49643,62.66271576195795,489243.7992646984,0.41510390716405254,0.0569245288755269,0.41510390716405254,0.0569245288755269,0.13042427476983934,0.017545498625554597,0.13042427476983934,0.017545498625554597,-0.6440757560531338,-4691.144088263332
random_025,random,290.22656353011376,3.071228900231628,356.9730565254138,2.1039104119480854,313.2475360451097,320.2139747537369,65.5319447854514,306.0147798540943,385089.3026974274,19.079521364095854,995.633598235363,313.57095,320.2867,65.0252937773515,382240.9763556648,0.3234173240309133,0.07273789274745468,0.3234173240309133,0.07273789274745468,0.10324656599512376,0.02271540235037972,0.10324656599512376,0.02271540235037972,-0.506651008099908,-2848.326341762615
random_026,random,288.8445454751649,0.7258408468279463,350.14467448361927,4.985827662069032,342.6766330036553,340.2592955000609,83.84734476028038,134.19870603156085,155863.063578498,1.4584966791735496,4655.800888420403,342.35654,340.14642,12.704928593724127,162543.6859220917,-0.3200961384209222,-0.11287216021713675,0.3200961384209222,0.11287216021713675,-0.09341055315478945,-0.03317239579046755,0.09341055315478945,0.03317239579046755,-71.14241616655625,6680.622343593714
random_027,random,297.63949406781217,2.1200232587536685,341.8202827826949,1.2756996612088238,313.9499986938496,314.4175907608947,63.09120463118375,158.18549192615922,148829.5127061423,4.995899301036843,408.5969778196886,313.79498,314.4517,63.433226720776155,149657.30920349027,-0.15501578369332947,0.034099912933413634,0.15501578369332947,0.034099912933413634,-0.049375946596035544,0.010845421482586708,0.049375946596035544,0.010845421482586708,0.34202208959240465,827.7964973479684
random_028,random,310.38488366246594,0.6235870943445342,333.5089080233741,1.6475034063322958,326.4882977693944,328.9437105735576,80.24743706454521,120.51113581785575,48417.2823831329,1.1468047302478226,646.6145377841021,326.3064,328.95654,31.147309943052772,49671.755365399316,-0.18190128501942127,0.012832395192390322,0.18190128501942127,0.012832395192390322,-0.05571448847085539,0.003901091518064083,0.05571448847085539,0.003901091518064083,-49.100127121492434,1254.4729822664158
random_029,random,291.3695414321767,4.167131220352383,343.44133858242,4.166718781816016,317.2254777512121,317.5941640811543,50.356830007478514,402.46095032167284,457254.0250929521,32.499035618209746,3476.83460552404,317.37082,317.66077,50.066486884256285,454718.99817078916,0.1453413405847641,0.06660252040819614,0.1453413405847641,0.06660252040819614,0.04581641475176524,0.0209709522216464,0.04581641475176524,0.0209709522216464,-0.2903431232222289,-2535.0269221629715
random_030,random,307.5280636033651,1.738300661158263,346.14250854881743,2.3883054002873885,331.2809846510288,327.97903423851955,52.92768139650201,159.76874554938095,148577.28867373013,3.2916640956682386,1243.2924856832979,331.1015,327.86447,38.95176301309256,150371.66220832206,-0.17948318618505255,-0.11456280297267085,0.17948318618505255,0.11456280297267085,-0.05417853559392189,-0.03492991655355512,0.05417853559392189,0.03492991655355512,-13.97591838340945,1794.3735345919267
