cold_inlet_temp,cold_mass_flow,hot_inlet_temp,hot_mass_flow,thermal_efficiency,cold_pressure_drop,hot_pressure_drop,global_htc,cold_outlet_temp,hot_outlet_temp
288.15,0.5,343.15,4.5,90.47537696697432,1.0327000038087135,3911.681343946213,118.67536867289348,337.91742696318255,337.62791774891986
288.15,0.5,343.15,5.0,90.79331151996048,1.0310550874855835,4732.980963015041,119.19909256613981,338.092151480697,338.16307822502904
288.15,0.5,348.15,0.5,64.40954767529749,1.1446698901854688,74.53734712504956,97.55857002099368,326.8099866020585,309.50461336524853
288.15,0.5,348.15,1.0,79.02522605123201,1.052905940101482,257.59191819664557,107.45730555611578,335.5801951507901,324.45546846032613
288.15,0.5,348.15,1.5,84.12441788969552,1.0263133774424205,533.8588889927196,111.7604525765416,338.6380935568985,331.3407861987555
288.15,0.5,348.15,2.0,86.60130092195371,1.0123310661001597,896.1474841440067,114.30756721234505,340.12300883439053,335.1751740445956
288.15,0.5,348.15,2.5,88.0693788752648,1.0041849477856886,1340.0607735234807,116.01530619314643,341.00299386939895,337.5960634692982
288.15,0.5,348.15,3.0,89.0349643507229,0.9988549098343356,1862.277440537553,117.2570862483118,341.58171874933106,339.25984159083873
288.15,0.5,348.15,3.5,89.71836729859926,0.9951416572876042,2460.222566724333,118.20867982981164,341.9912879538489,340.47223793392925
288.15,0.5,348.15,4.0,90.2279464675779,0.9924490923876874,3131.8036608644907,118.96552222534794,342.2966670918735,341.39446730423685
288.15,0.5,348.15,4.5,90.62253398006955,0.9902812783839181,3875.0523582780006,119.58825362010843,342.5331248770934,342.11937222466423
288.15,0.5,348.15,5.0,90.93771845243771,0.9886226952949073,4688.615283142441,120.1086728498499,342.7219941520847,342.70404096183506
288.15,0.5,353.15,0.5,64.54196895111464,1.1082448312226916,73.94675839683623,98.397083739772,330.1262001661175,311.20427889972234
288.15,0.5,353.15,1.0,79.19063500802613,1.0142006921232678,255.43297845721827,108.33515505809034,339.64704081837544,327.4356225143539
288.15,0.5,353.15,1.5,84.28662591417358,0.9870621049340116,529.2969260564423,112.63448083349752,342.9565152491665,334.9127826806881
288.15,0.5,353.15,2.0,86.7552326089434,0.9728240002732491,888.4083005920547,115.17401526202414,344.55911029445946,339.0759274513813
288.15,0.5,353.15,2.5,88.21653877582075,0.9646270675148116,1328.4460345184343,116.87241052365272,345.5075843540967,341.7036099495252
288.15,0.5,353.15,3.0,89.17676090610888,0.9593639957602136,1846.153954310299,118.10426400407879,346.1307452135723,343.5091087979525
288.15,0.5,353.15,3.5,89.85560805428912,0.9556330878840527,2438.8926660426514,119.04946860961174,346.57126146562075,344.8245784888046
288.15,0.5,353.15,4.0,90.36123773859237,0.9528443765884731,3104.5376090698555,119.80291144746556,346.89935244086155,345.82509303298787
288.15,0.5,353.15,4.5,90.7527616823684,0.9506769737927243,3841.2983179047005,120.42083814267315,347.1533903128888,346.6114254528424
288.15,0.5,353.15,5.0,91.06532261809626,0.9490132589708082,4647.749766154186,120.9372936596843,347.3561855602534,347.2455807933745
288.15,0.5,358.15,0.5,64.66543226964666,1.0736338540154975,73.39013978211733,99.19748832635979,333.45173174418807,312.89875075120165
288.15,0.5,358.15,1.0,79.3420421829164,0.9777681405248586,253.41806391881255,109.15444857463761,343.7224331394578,330.41478836786683
288.15,0.5,358.15,1.5,84.42550515636079,0.950094262327184,525.04520389963,113.4441853470802,347.2763045383895,338.4870200119158
288.15,0.5,358.15,2.0,86.89260368309361,0.9358070688758744,881.2403797693405,115.9683401650037,349.00029176491705,342.9776682652069
288.15,0.5,358.15,2.5,88.34703961295236,0.9275951541785616,1317.7088396589825,117.65453995325717,350.0163884031428,345.81224852442165
288.15,0.5,358.15,3.0,89.30171618440731,0.922324869199656,1831.217273749935,118.87683969977377,350.68323945553306,347.75948808925716
288.15,0.5,358.15,3.5,89.97616468254226,0.9185969887621468,2419.152561741983,119.814164506894,351.15429205482684,349.1779802984694
288.15,0.5,358.15,4.0,90.47822986783798,0.9158154400793137,3079.4078260947863,120.56101058747207,351.50492444285203,350.2567029129352
288.15,0.5,358.15,4.5,90.86696611180429,0.9137275905377464,3810.2997447449306,121.17176141584919,351.7763938209278,351.10438868584663
288.15,0.5,358.15,5.0,91.17687361034857,0.9119948729203315,4610.126297167939,121.68517621091614,351.9928037963145,351.7879885972957
288.15,0.5,363.15,0.5,64.78043362615335,1.0405060128396144,72.86356381932274,99.96375181191574,336.785831542503,314.5891979374653
288.15,0.5,363.15,1.0,79.48051119677828,0.9433142760244664,251.53101277328096,109.91807391061899,347.8052305761038,333.39385060607935
288.15,0.5,363.15,1.5,84.5514757261801,0.9153758062893758,521.0966355414857,114.18658570936547,351.60189733695495,342.06226900958205
288.15,0.5,363.15,2.0,87.01429048846126,0.9011785199836595,874.6251322046446,116.68891739378859,353.44483623689723,346.88103823867823
288.15,0.5,363.15,2.5,88.46173840673667,0.8929714126570616,1307.8185869244917,118.3603727362457,354.5276504058393,349.92251341098114
288.15,0.5,363.15,3.0,89.41081297154216,0.8876329505437752,1817.4362029991025,119.57300196232765,355.23750665906846,352.0114166076664
288.15,0.5,363.15,3.5,90.08098383128186,0.8839207709534094,2400.9587583385437,120.50112056204472,355.7386938440336,353.53282418976755
288.15,0.5,363.15,4.0,90.57975839956485,0.881224577955436,3056.335462583782,121.23889523482919,356.1116674002969,354.68963734429894
288.15,0.5,363.15,4.5,90.96550975126998,0.879075487726368,3781.675344528572,121.84497093461606,356.400103849547,355.5986191518641
288.15,0.5,363.15,5.0,91.27320069236306,0.8774218995240517,4575.620762055318,122.35156565651245,356.63015948773966,356.33155393117244
288.15,0.5,368.15,0.5,64.88693614609386,1.0092098264576634,72.36845888500102,100.68797497988677,340.1274294079781,316.27709669709856
288.15,0.5,368.15,1.0,79.60435037307644,0.9109594852052396,249.77609293827845,110.62061207603904,351.89230293673165,336.37469206590083
288.15,0.5,368.15,1.5,84.66661249020663,0.8828393535222858,517.4429390196892,114.86011474660349,355.93316193511413,345.63883700654526
288.15,0.5,368.15,2.0,87.12035223602045,0.8685741155350115,868.4836448727146,117.34055961865862,357.8905702217,350.7868023235979
288.15,0.5,368.15,2.5,88.56092280824116,0.8604073052265448,1298.6575652759057,118.99437508882946,359.03934904358414,354.03499410271036
288.15,0.5,368.15,3.0,89.50485253775246,0.855175391814555,1804.7733716140065,120.19209706766179,359.7919181645447,356.2653435115608
288.15,0.5,368.15,3.5,90.17088193665023,0.8514853544911603,2384.2597513328656,121.10982909569834,360.3228439182546,357.8894953334751
288.15,0.5,368.15,4.0,90.66620732713618,0.8487383573083207,3035.040124643565,121.840651865198,360.71764741975363,359.12427348925377
288.15,0.5,368.15,4.5,91.04927547838398,0.8466104765393538,3755.3642364239786,122.43959069418193,361.02294783379165,360.0943945664677
288.15,0.5,368.15,5.0,91.35470834134613,0.8449688096006867,4543.815298573347,122.940342046687,361.26635633663335,360.8765524082095
288.15,1.0,333.15,0.5,79.9715242628042,2.8498143559409073,77.36069629553822,112.41952453426991,306.1353699781685,297.1525802708411
288.15,1.0,333.15,1.0,56.1948069544585,2.629248333381838,267.82096463312337,125.80654627842195,313.4328041880868,307.85451401460614
288.15,1.0,333.15,1.5,63.53429200832591,2.5382951637293445,554.1028168754274,132.1350812833792,316.73746487980213,314.0853488710999
288.15,1.0,333.15,2.0,67.65561375512276,2.4911092510883464,929.0769697017531,135.92834293604457,318.5930567023208,317.92536175269674
288.15,1.0,333.15,2.5,70.48341348067744,2.4678493706305744,1388.4827438597276,138.47079328102248,319.86619984532064,320.46221635789965
288.15,1.0,333.15,3.0,72.04051021313198,2.4493148988694884,1928.920506469396,140.34621560377843,320.56721962791784,322.3440530989099
288.15,1.0,333.15,3.5,73.26153450118122,2.434447231775266,2547.070588229326,141.80728864504727,321.1169236912082,323.73139289250713
288.15,1.0,333.15,4.0,74.22757900313523,2.4229787897493225,3240.927083318573,142.9790229196438,321.55182752474633,324.80053070561803
288.15,1.0,333.15,4.5,74.9995006058627,2.4140486567048356,4008.7417606601666,143.94262351830932,321.8993333659417,325.6515665698893
288.15,1.0,333.15,5.0,75.62849984551335,2.4070334003772587,4848.992972585926,144.75126202456875,322.1824940688957,326.3452417727689
288.15,1.0,338.15,0.5,80.11583487598514,2.78482603415614,76.68956324541068,113.22514704331986,308.1730934586084,298.0822300434593
288.15,1.0,338.15,1.0,56.33156375805633,2.5493202964862576,265.26420292233524,126.63818744489555,316.31456634556355,309.9789815870332
288.15,1.0,338.15,1.5,63.68677376233217,2.4532954751484795,548.5735657868499,132.94250402140955,319.9943584445173,316.9203554014932
288.15,1.0,338.15,2.0,67.79684803734365,2.4036009397968883,919.5860025931179,136.70724666198066,322.0504336809403,321.2025807139348
288.15,1.0,338.15,2.5,70.63937462318346,2.3789603101322427,1374.0625167623657,139.2267407229558,323.4723061691537,324.0252357166478
288.15,1.0,338.15,3.0,72.16516176028617,2.3590365889685927,1908.6723005818203,141.08301552777584,324.23548383869417,326.126323578849
288.15,1.0,338.15,3.5,73.39949122192054,2.3436741558252834,2520.140939829682,142.52459516763926,324.85282861310554,327.66861205472156
288.15,1.0,338.15,4.0,74.36698458528967,2.3318224824179197,3206.4906242162397,143.67951878414905,325.33674651973746,328.8586146082981
288.15,1.0,338.15,4.5,75.13733040534578,2.32258824078599,3965.985638677841,144.6286651157673,325.7220248299127,329.8060432237848
288.15,1.0,338.15,5.0,75.76390545222418,2.3153188903233968,4797.116069194977,145.42486465044945,326.03539105311427,330.5783512839317
288.15,1.0,343.15,0.5,80.25160836675883,2.721309514163295,76.05342969717458,114.00000841144133,310.2170273080899,299.00292817248237
288.15,1.0,343.15,1.0,56.457524542008166,2.4725803827604977,262.8603884366894,127.41778683646235,319.20576351671053,312.0972496586457
288.15,1.0,343.15,1.5,63.82420864396359,2.3727665534388507,543.4168976677902,133.68181357941657,323.25991018147573,319.7523979136876
288.15,1.0,343.15,2.0,67.92383514457447,2.320966697152471,910.7626916731097,137.41049079826996,325.51573574101724,324.47832113813735
288.15,1.0,343.15,2.5,70.69724961535654,2.294430436886614,1360.7025239965005,139.9049286717984,327.04163227853235,327.6051780050478
288.15,1.0,343.15,3.0,72.27556045119894,2.274023939302424,1889.9110857951164,141.73614850036887,327.90992556920924,329.9085203679676
288.15,1.0,343.15,3.5,73.51872671381389,2.2582659075123956,2495.219048446117,143.15593475348442,328.5938021689952,331.6061957171485
288.15,1.0,343.15,4.0,74.48612801372798,2.246118552866392,3174.6524178676336,144.29222861113018,329.1259525426006,332.91722892807485
288.15,1.0,343.15,4.5,75.25634567837429,2.2369901460042456,3926.599109746152,145.22352006755102,329.5496191467936,333.9609366309131
288.15,1.0,343.15,5.0,75.87803842383985,2.2291855379589833,4749.220093837081,146.00810505341659,329.89157702494356,334.81219561565035
288.15,1.0,348.15,0.5,80.37836597216128,2.660855011505191,75.45289803373453,114.73610014382265,312.2667648945467,299.91627596725965
